,risk_score,3
0,69.0,0.0370370370370372
1,76.0,0.2962962962962967
2,70.0,0.0740740740740744
3,80.0,0.44444444444444464
4,68.0,0.0
5,68.0,0.0
6,68.0,0.0
7,70.0,0.0740740740740744
8,68.0,0.0
9,68.0,0.0
10,68.0,0.0
11,79.0,0.40740740740740744
12,80.0,0.44444444444444464
13,70.0,0.0740740740740744
14,68.0,0.0
15,68.0,0.0
16,68.0,0.0
17,85.0,0.6296296296296298
18,68.0,0.0
19,68.0,0.0
20,76.0,0.2962962962962967
21,68.0,0.0
22,68.0,0.0
23,68.0,0.0
24,80.0,0.44444444444444464
25,70.0,0.0740740740740744
26,85.0,0.6296296296296298
27,68.0,0.0
28,80.0,0.44444444444444464
29,68.0,0.0
30,68.0,0.0
31,76.0,0.2962962962962967
32,68.0,0.0
33,68.0,0.0
34,68.0,0.0
35,76.0,0.2962962962962967
36,68.0,0.0
37,68.0,0.0
38,79.0,0.40740740740740744
39,68.0,0.0
40,79.0,0.40740740740740744
41,76.0,0.2962962962962967
42,75.0,0.2592592592592595
43,68.0,0.0
44,69.0,0.0370370370370372
45,68.0,0.0
46,68.0,0.0
47,80.0,0.44444444444444464
48,68.0,0.0
49,68.0,0.0
50,68.0,0.0
51,68.0,0.0
52,76.0,0.2962962962962967
53,76.0,0.2962962962962967
54,68.0,0.0
55,68.0,0.0
56,68.0,0.0
57,75.0,0.2592592592592595
58,70.0,0.0740740740740744
59,68.0,0.0
60,69.0,0.0370370370370372
61,68.0,0.0
62,68.0,0.0
63,69.0,0.0370370370370372
64,68.0,0.0
65,76.0,0.2962962962962967
66,68.0,0.0
67,69.0,0.0370370370370372
68,69.0,0.0370370370370372
69,68.0,0.0
70,70.0,0.0740740740740744
71,69.0,0.0370370370370372
72,68.0,0.0
73,76.0,0.2962962962962967
74,68.0,0.0
75,68.0,0.0
76,68.0,0.0
77,68.0,0.0
78,68.0,0.0
79,69.0,0.0370370370370372
80,68.0,0.0
81,75.0,0.2592592592592595
82,68.0,0.0
83,68.0,0.0
84,68.0,0.0
85,86.0,0.666666666666667
86,86.0,0.666666666666667
87,76.0,0.2962962962962967
88,68.0,0.0
89,70.0,0.0740740740740744
90,68.0,0.0
91,80.0,0.44444444444444464
92,68.0,0.0
93,68.0,0.0
94,75.0,0.2592592592592595
95,68.0,0.0
96,68.0,0.0
97,68.0,0.0
98,69.0,0.0370370370370372
99,70.0,0.0740740740740744
100,80.0,0.44444444444444464
101,68.0,0.0
102,68.0,0.0
103,69.0,0.0370370370370372
104,86.0,0.666666666666667
105,68.0,0.0
106,68.0,0.0
107,76.0,0.2962962962962967
108,70.0,0.0740740740740744
109,68.0,0.0
110,68.0,0.0
111,68.0,0.0
112,69.0,0.0370370370370372
113,68.0,0.0
114,68.0,0.0
115,68.0,0.0
116,79.0,0.40740740740740744
117,68.0,0.0
118,69.0,0.0370370370370372
119,69.0,0.0370370370370372
120,68.0,0.0
121,79.0,0.40740740740740744
122,68.0,0.0
123,68.0,0.0
124,68.0,0.0
125,68.0,0.0
126,79.0,0.40740740740740744
127,68.0,0.0
128,68.0,0.0
129,68.0,0.0
130,75.0,0.2592592592592595
131,68.0,0.0
132,68.0,0.0
133,68.0,0.0
134,68.0,0.0
135,85.0,0.6296296296296298
136,70.0,0.0740740740740744
137,68.0,0.0
138,68.0,0.0
139,75.0,0.2592592592592595
140,69.0,0.0370370370370372
141,68.0,0.0
142,68.0,0.0
143,68.0,0.0
144,68.0,0.0
145,76.0,0.2962962962962967
146,68.0,0.0
147,68.0,0.0
148,68.0,0.0
149,68.0,0.0
150,68.0,0.0
151,68.0,0.0
152,70.0,0.0740740740740744
153,68.0,0.0
154,68.0,0.0
155,68.0,0.0
156,68.0,0.0
157,75.0,0.2592592592592595
158,68.0,0.0
159,68.0,0.0
160,68.0,0.0
161,75.0,0.2592592592592595
162,68.0,0.0
163,68.0,0.0
164,68.0,0.0
165,68.0,0.0
166,68.0,0.0
167,68.0,0.0
168,68.0,0.0
169,69.0,0.0370370370370372
170,68.0,0.0
171,76.0,0.2962962962962967
172,68.0,0.0
173,68.0,0.0
174,68.0,0.0
175,68.0,0.0
176,68.0,0.0
177,68.0,0.0
178,68.0,0.0
179,68.0,0.0
180,68.0,0.0
181,75.0,0.2592592592592595
182,79.0,0.40740740740740744
183,90.0,0.8148148148148149
184,68.0,0.0
